sentence,sentiment
"As these results demonstrate , Amazon is quickly becoming the first , last , and only place people shop online .",NEGATIVE
"The e-commerce titan recently surpassed Wal - Mart in terms of market capitalization , and rightfully so .",POSITIVE
"With still less than 10 % of global retail sales conducted online , the growth of e-commerce remains in its early innings .",POSITIVE
And no company is as well - positioned to benefit from this megatrend as Amazon .,NEGATIVE
Image source : Apple .,POSITIVE
"Andres Cardenal ( Apple ) : Apple stock took a beating recently , falling by nearly 5 % , after the company reported earnings for the latest quarter .",NEGATIVE
"Investors seem to be disappointed with lower - than - expected i Phone sales during the quarter , but the bears may be missing the forest for the trees , since Apple 's overall financial performance is nothing short of outstanding .",NEGATIVE
"Total revenue during the quarter ended on June 30 jumped 33 % year over year , reaching $",POSITIVE
49.6 billion .,POSITIVE
"Profit margins are expanding , and the company is reducing the amount of shares outstanding via stock buybacks , so earnings per share jumped by an even more impressive 45 % from the same quarter last year .",POSITIVE
i Phone revenue grew by a strong 59 % to $ 31.4 billion .,POSITIVE
Only when expectations are sky - high can this kind of performance be considered a disappointment .,NEGATIVE
"A new i Phone model is expected in September , and Apple is venturing into new products and services with initiatives such as Apple Watch , Apple Pay and Apple Music .",POSITIVE
"Considering the company 's brand power and track record of success , assuming that Apple can sustain above - average growth for years to come does n't sound like much of a stretch .",POSITIVE
All this comes for a very reasonable price .,POSITIVE
"Apple stock trades at a P/E ratio around 14 , a substantial discount versus the S&P 500 index and its average P/E near 19 .",NEGATIVE
Anders Bylund ( Limelight Networks ) :,POSITIVE
There 's no doubt in my mind that global network traffic will continue to grow dramatically for the foreseeable future .,POSITIVE
"In particular , digital media weighs ever - heavier on our bandwidth pipes as consumers get used to larger screens , higher - resolution images , and online video everywhere .",NEGATIVE
These market trends helped online content delivery expert Limelight Networks to double its share prices year - over - year before hitting a wall in late May .,NEGATIVE
"Since then , the stock has plunged 18 % lower .",NEGATIVE
Many investors are spooked by Limelight 's nearly constant negative cash flows and red-ink earnings .,NEGATIVE
"That 's fair , but you should also consider that those negative margins are starting to turn positive .",NEGATIVE
"The content delivery industry is poised to grow sales by 15 % to 20 % a year over the next half - decade or so , which will also unlock economies of scale to help Limelight turn a profit eventually .",POSITIVE
"The company is also a potential buyout target , and operating margins have already improved drastically in recent reports : LLNW Operating Margin ( TTM ) data by YCharts",POSITIVE
"The stock is taking a break from a big momentum move , offering investors a temporary buy - in discount .",POSITIVE
I see June 's plunging share prices as an invitation to put some Limelight in your portfolio .,NEGATIVE
"In other words , it 's simply high time to take a greedy look at Limelight Networks .",POSITIVE
Tim Green ( Mattel ) :,POSITIVE
"Things have been rough for toy maker Mattel over the past couple of years , but that 's no reason to ignore the stock .",POSITIVE
"The stock is now down about 50 % since the beginning of 2014 , with revenue declines and contracting margins disappointing investors .",NEGATIVE
"Slumping sales of Mattel 's key brands , like Barbie and Fisher - Price , are a big problem for the company , and a new CEO was brought in earlier this year to attempt to right the ship .",NEGATIVE
Mattel 's problems run much deeper than its brands being out of style .,NEGATIVE
The culture at Mattel is a mess .,NEGATIVE
"The Wall Street Journal reported last year that Mattel employees were so overburdened with meetings , PowerPoint presentations , and bureaucracy that doing the creative work necessary for any toy maker was becoming increasingly difficult .",NEGATIVE
"These issues will need to be fixed before any turnaround can take place , but Mattel offers promise .",POSITIVE
"While the toy industry is fickle and the hot toy of today is the forgotten toy of tomorrow , Mattel has a portfolio of brands that have been around for decades , including Barbie , Hot Wheels , and Fisher - Price .",POSITIVE
"These brands have stood the test of time , and I have no doubt that Mattel can eventually turn things around .",POSITIVE
"While investors wait for Mattel to return to growth , they 'll collect a massive dividend .",POSITIVE
"Due to the decline in Mattel 's stock price , the dividend yield is currently about 6.5 % .",NEGATIVE
"There is a risk that Mattel will be forced to cut the dividend if things get worse , as its earnings last year did n't quite cover the payout , so that should n't be the only reason for buying the stock .",NEGATIVE
"But for investors willing to wait a few years , a turnaround at Mattel offers a great opportunity .",POSITIVE
Rick Munarriz ( Disney ) : August should be a big month for the family entertainment giant .,POSITIVE
The fireworks should start on Tuesday afternoon when Disney reports quarterly results .,NEGATIVE
"It 's coming off of back - to - back blowout quarters , and it should benefit from strong theme park and box office trends .",POSITIVE
Then we have the Fantastic Four reboot hitting a multiplex near you on Friday .,NEGATIVE
"Disney is n't the studio behind the movie , but as the parent company of Marvel it naturally benefits from the potential blockbuster 's success .",POSITIVE
We could also see some potential catalysts come into play the following week during the D23 expo for Disney buffs .,POSITIVE
"A theme parks presentation is slated for Aug. 15 , and all of the chatter suggests that it 's when Disney will announce major new Star Wars - themed attractions , including a long overdue makeover of Disney 's Hollywood Studios in Florida .",NEGATIVE
Disney has been firing on all cylinders lately .,POSITIVE
One can only imagine what would happen if the iconic blue chip turns things up a notch across its dynamic and valuable properties .,POSITIVE
Dan Caplinger ( Starbucks ) :,POSITIVE
"If there 's one thing investors can count on , it 's that millions of people around the world can't live without their morning coffee .",NEGATIVE
"Starbucks has taken this simple fact and turned it into a global empire , with its store footprint rapidly expanding around the world .",POSITIVE
"With the coffee giant having released its latest financials late last month , things look brighter than ever for Starbucks , which saw sales rise 18 % alongside comparable - store growth of 7 % and a 21 % boost in earnings .",POSITIVE
Starbucks has achieved its success in multiple ways .,POSITIVE
"First , it has made internal moves within its organization to acquire previously licensed locations in Japan and increase its exposure to high - growth regions of the world .",POSITIVE
"Second , new progress on initiatives like delivery and mobile - based ordering systems should help make Starbucks even more efficient in serving its customers in the future .",POSITIVE
"Also , Starbucks is planning to treat shareholders well , with the recent addition of another 50 million shares to its stock buyback authorization .",POSITIVE
"For investors , Starbucks trades at a fairly hefty valuation of more than 30 times forward earnings estimates , making some leery of buying in at these prices .",NEGATIVE
"Yet , given the numerous opportunities that the coffee giant has to become even bigger in the near future , both in terms of geographical reach and the range of products it offers , Starbucks is worth a look even at all - time highs .",POSITIVE
Asit Sharma ( Restaurant Brands ) :,POSITIVE
"In the quick - service restaurant industry , which has been hampered by the rampant growth of "" fast - casual "" chains , it 's been hard recently not to notice the success of Restaurant Brands International , the company formed by the merger of Burger King Worldwide and Canadian coffee chain Tim Hortons late last year .",POSITIVE
"The company 's second - quarter 2015 earnings report , issued at the end of July , was an emphatic statement that there 's still vigorous growth in the fast - food industry for companies that can find the right formula .",POSITIVE
"QSR reported comparable - store sales increases of 5.5 % for Tim Hortons and 6.7 % for Burger King ( in constant currency ) during the quarter , well beyond the rate of peers such as McDonald 's , which has faced recent same - store sales decreases .",NEGATIVE
The combined company has booked a healthy operating margin of 26.5 % through the first half of the year .,POSITIVE
"QSR has brought a focus on cost discipline and increased marketing to the Burger King and Tim Hortons brands , a hallmark of investor 3G Capital , which initiated the merger .",POSITIVE
"This formula , combined with a bias toward franchising over operating restaurants , promises a long ramp for growth in both brands .",POSITIVE
Burger King locations are proliferating globally due to 3G 's preference for forming joint ventures with local franchise operators in targeted geographic areas .,POSITIVE
"Notably , on the expense side of the ledger , QSR 's management is currently attacking Tim Hortons ' cost structure with a "" zero - based budgeting exercise , "" in which prior assumptions about costs are thrown out the door and a yearly budget is built from the ground up .",NEGATIVE
"In short , QSR is run in a very disciplined fashion by a management team that also knows how to build sales credibly .",POSITIVE
"It 's a compelling company to consider in August , especially for those with a long - term holding period .",POSITIVE
Tim Brugger ( Microsoft ) :,POSITIVE
"You 've likely heard about Microsoft taking the $ 7.5 billion plunge to write off its deal to acquire Nokia 's device manufacturing unit , right alongside another $ 780 million in "" restructuring "" charges .",NEGATIVE
The result was a whopping $ 1.02 negative impact on earnings per share ( EPS ) in Microsoft 's recently announced fiscal 2015 's Q4 .,NEGATIVE
Ouch .,NEGATIVE
"Adding insult to injury was the "" slowing "" of perhaps the most important aspect of Microsoft 's future -- the cloud .",NEGATIVE
"Unfortunately , Microsoft ended its string of triple - digit quarterly growth in cloud revenues last quarter .",NEGATIVE
"Cloud - related sales "" only "" jumped 88 % , or 96 % if you factor in the impact of the strong U.S . dollar .",NEGATIVE
"Thing is , at an annual run rate of over $ 8 billion , Microsoft is already among the leading providers -- if not the leading provider -- of cloud - related services on the planet .",POSITIVE
"This is all part of CEO Satya Nadella 's "" mobile first , cloud first "" plan .",NEGATIVE
"At some point , investors are going to recognize that it's in these strategic areas that Microsoft should be measured , and when they do , shareholders will reap the benefits .",POSITIVE
The reaction to the Nokia write - off is indicative of the short - term nature of altogether too many investors .,NEGATIVE
"Microsoft is a steal at these levels , and even offers a 2.66 % dividend yield .",NEGATIVE
"For long - term growth and income investors , Microsoft offers a compelling story as it continues its shift to becoming the world 's leading provider of cloud solutions .",POSITIVE
"The next billion - dollar Apple secret Apple forgot to show you something at its recent event , but a few Wall Street analysts and the Fool did n't miss a beat :",POSITIVE
There 's a small company that 's powering Apple 's brand - new gadgets and the coming revolution in technology .,POSITIVE
And its stock price has nearly unlimited room to run for early - in - the - know investors !,NEGATIVE
"To be one of them , just click here .",NEGATIVE
Anders Bylund owns shares of Google ( A shares ) and Walt Disney .,POSITIVE
Anders Bylund also has the following options : short January 2016 $ 320 puts on Amazon.com and long January 2016 $ 320 calls on Amazon.com .,NEGATIVE
"Andrés Cardenal owns shares of Amazon.com , Apple , Google ( A and C shares ) , and Walt Disney .",POSITIVE
"Dan Caplinger owns shares of Apple , Google ( C shares ) , Starbucks , and Walt Disney .",POSITIVE
Rick Munarriz owns shares of Walt Disney .,POSITIVE
Tim Brugger owns shares of Walt Disney .,POSITIVE
Timothy Green owns shares of Mattel .,POSITIVE
"Asit Sharma has no position in any stocks mentioned , nor does Joe Tenebruso .",NEGATIVE
"The Motley Fool recommends Amazon.com , Apple , eBay , Google ( A and C shares ) , Starbucks , and Walt Disney .",NEGATIVE
"The Motley Fool owns shares of Amazon.com , Apple , eBay , Google ( A and C shares ) , Microsoft , Starbucks , and Walt Disney .",NEGATIVE
Try any of our Foolish newsletter services free for 30 days .,NEGATIVE
"We Fools may not all hold the same opinions , but we all believe that considering a diverse range of insights makes us better investors .",POSITIVE
The Motley Fool has a disclosure policy .,NEGATIVE
Compare Brokers Anders Bylund Fool Contributor Anders Bylund is a Foolish Technology and Entertainment Specialist .,NEGATIVE
"Where the two markets intersect , you 'll find his wheelhouse .",NEGATIVE
He has been an official Fool since 2006 but a jester all his life .,POSITIVE
"Follow Anders : Aug 1 , 2015 at 5:03 PM Consumer Goods",NEGATIVE
"An Amgen sign is seen at the company 's office in South San Francisco , California October 21 , 2013 .",NEGATIVE
"REUTERS / Robert … By Bill Berkrot ( Reuters ) - Amgen Inc ( AMGN.O ) on Thursday reported higher - than - expected second - quarter profit and revenue , helped by strong sales of its Enbrel rheumatoid arthritis drug and cost cutting , and the company raised its full - year forecasts .",POSITIVE
"Excluding special items , Amgen earned $ 2.57 per share , topping analysts ' average expectations by 14 cents , according to Thomson Reuters I/B/E/S .",NEGATIVE
The strong second - quarter performance led the world 's largest biotechnology company to boost 2015 profit and revenue expectations .,POSITIVE
"Amgen now sees adjusted earnings of $ 9.55 to $ 9.80 per share , up from its prior view of $ 9.35 to $ 9.65 .",NEGATIVE
"It sees revenue coming in between $ 21.1 billion and $ 21.4 billion , up from $ 20.9 billion to $ 21.3 billion .",NEGATIVE
""" The magnitude of the guidance raise was substantial , "" said Cowen and Co analyst Eric Schmidt .",POSITIVE
""" The numbers are all very good . """,POSITIVE
Amgen 's shares rose 1.8 percent in extended trading .,POSITIVE
"The company is expecting U.S . approval of what could be its next big product , a potent new type of cholesterol fighter called Repatha , by late August .",NEGATIVE
It won European approval earlier this month .,POSITIVE
Regeneron ( REGN.O ) and Sanofi ( SASY,NEGATIVE
.PA ) gained U.S . approval of a similar medicine last week .,POSITIVE
""" We are on track to deliver on our long - term objectives for patients and shareholders , "" Chief Executive Robert Bradway said in a statement .",POSITIVE
"The company also named to its board industry veteran Fred Hassan , who has a long history of selling large companies , including Pharmacia and Schering - Plough .",POSITIVE
""" They are making headway with expense cuts , "" said Bernstein analyst Geoffrey Porges .",NEGATIVE
""" Now it 's really all about the PCSK9 approval and launch , "" he said of Repatha .",NEGATIVE
"Revenue for the quarter rose to $ 5.37 billion , exceeding Wall Street forecasts of $ 5.32 billion .",POSITIVE
"Unfavorable foreign exchange rates due to the strong dollar hurt revenue by 2.5 percentage points , the company said .",NEGATIVE
Amgen gets about 22 percent of its sales from overseas .,NEGATIVE
"Enbrel sales rose 8 percent to $ 1.36 billion , driven by price increases despite a highly competitive market .",NEGATIVE
Analysts had been looking for about $ 1.25 billion .,NEGATIVE
Osteoporosis drug Prolia also topped expectations by about $ 30 million with sales of $ 340 million for the quarter .,POSITIVE
"Sales of the infection - fighting white blood cell boosters Neulasta and Neupogen , which are bracing for competition from new biosimilar versions , were in line with expectations at $ 1.41 billion .",NEGATIVE
Amgen has been working to cut costs .,NEGATIVE
Research and development expense was down 6 percent and operating expenses fell 1 percent .,NEGATIVE
"Net profit rose to $ 1.65 billion , or $ 2.15 per share , from $ 1.55 billion , or $ 2.01 , a year ago .",POSITIVE
( Additional reporting by Deena Beasley in Los Angeles ; Editing by James Dalgleish ),POSITIVE
Stockland 's Willowdale development in Leppington .,POSITIVE
Photo : Paul Gosney,POSITIVE
"The $ 20 billion of infrastructure work being undertaken by the NSW government has opened up the south - west of Sydney , leading to high demand for industrial assets , agents say .",POSITIVE
There has seen a rise in rents as supply remains tight because of the juggernaut residential developments where land and older warehouses are being snapped up for apartment projects .,NEGATIVE
"The newly minted Frasers Property Australia , formerly Australand , has invested in the area with its new site at the Edmondson Park town centre , which will be eventually rezoned and developed into a mixed - use retail and residential site .",POSITIVE
Stockland has also identified the region as having significant growth potential with its Willowdale development .,POSITIVE
"Advertisement CBRE 's research shows that up to 850,000 square metres – more than double the space of Sydney 's central business district – are earmarked for development from 2017 to 2027 .",POSITIVE
CBRE senior research analyst Alexander Tan said shrinking stock levels in south Sydney and the central west markets made the south - west an increasingly attractive alternative for industrial operators .,NEGATIVE
""" The gentrification of industrial estates such as south Sydney and the central west is an inevitable evolution for major cities , and one which Sydney is currently experiencing , "" Mr Tan said .",NEGATIVE
""" Improvements of transportation networks such as WestConnex , combined with major developments including the Moorebank intermodal terminal , have put the south - west in the spotlight . """,POSITIVE
"CBRE research shows about 210,000 square metres of industrial stock in south Sydney could be converted over the next five years .",NEGATIVE
""" Taking into account the limited supply pipeline for warehouse stock in south Sydney over the next five years , being 200,000 square metres of which 127,000 square metres is uncommitted , vacancy is expected to tighten further , "" Mr Tan said .",NEGATIVE
""" As industrial vacancy gets tighter in south Sydney , the central west and south - west precincts emerge as clear alternatives in terms of proximity .",POSITIVE
""" The south - west is positioned to benefit from this migration wave , absorbing tenants relocating from south Sydney and the central west , while also remaining attractive in its own right . """,POSITIVE
CBRE NSW industrial director Michael O'Neill said the south - west 's accessibility combined with major developments earmarked for the area would lead to the area becoming Sydney 's industrial centre of the future .,POSITIVE
""" As the traditional industrial precincts circling the city continue to be absorbed by Sydney 's booming residential market , the south - west will evolve into one of the city 's largest industrial markets , "" Mr O'Neill said .",POSITIVE
"Despite a substantial amount of western Sydney land being available for development over the medium and long term , there is a lack of serviced land for immediate development because of servicing costs , rezoning and acquisition lead times .",NEGATIVE
"Knight Frank 's director of NSW research , Nick Hoskins , said land owners with appropriately zoned land could be active players in the pre-commitment cycle , with competition limited to some institutional developers and larger private developers .",POSITIVE
"Mr Hoskins said while most development within the Western Sydney Employment Area had been undertaken by the major institutions over the last 12 years , the private sector was showing a greater propensity to push new projects .",POSITIVE
Other Articles LinkedIn 's revenue beat fails to connect with investors Paytm bags title sponsorship for BCCI matches Reliance Power moves HC over mine withdrawal from Sasan UMPP Uber Technologies,NEGATIVE
Inc will invest $ 1 billion in India in the next nine months as the online ride hailing company is bullish on the Indian market .,NEGATIVE
"Uber said it would use the additional investment to improve operations , expand into newer cities , and develop new products and payment solutions .",NEGATIVE
"“ Uber has grown exponentially in India , a global priority market for us , which has also quickly become the largest market geographically for Uber outside the U.S . , ” Amit Jain , President of Uber India said in a statement .",POSITIVE
"The news of Uber ’s investment in India was first reported by the Financial Times , which said it was the first time the company had set such a target for India .",NEGATIVE
"Earlier this month , a Delhi court revoked a government ban on Uber , clearing the way for the company to operate in the capital city and reapply for a license .",NEGATIVE
India asked unregistered web - based taxi services to halt operations in December after a driver contracted with Uber was accused of rape .,NEGATIVE
Uber applied for licenses in New Delhi but continued its operations while approvals were pending .,NEGATIVE
Uber said India and China are its priority markets .,NEGATIVE
It had said last month that it would invest more than $ 1 billion in China this year as it looks to rev up growth in the world ’s second largest economy .,POSITIVE
"One of the fastest - growing sharing - economy companies , Uber operates in 57 countries , with an estimated value of more than $ 40 billion .",POSITIVE
"It has also tangled with transportation authorities across the globe , along with attorneys seeking to deem Uber drivers employees entitled to benefits .",NEGATIVE
"31 , 2015 8:46 am",POSITIVE
"Tweet BANGKOK , Oct 22 ( Reuters ) – PTT Exploration and Production Pcl , Thailand 's largest oil and gas explorer , said on Thursday it posted a net loss of $ 1.28 billion , higher than analysts estimate , mainly due to an impairment loss on assets after a weaker oil prices .",NEGATIVE
Some 15 analysts polled by Reuters had forecast average net loss of 3.38 billion baht ( $ 95.16 million ) for the July - September quarter .,NEGATIVE
This compared with a net profit of $ 477 million a year earlier .,NEGATIVE
"PTTEP , flagship in the upstream business of PTT Pcl , Thailand 's top energy firm , posted 30 percent drop in sales revenue to $ 1.36 billion while it booked an impairment loss on assets of $ 1.39 billion for the quarter , it said in statement .",NEGATIVE
( $ 1 = 35.5200 baht ) ( Reporting by Khettiya Jittapong ; Editing by Michael Perry ),NEGATIVE
". By Renee Maltezou and Robert - Jan Bartunek ATHENS ( Reuters ) - Greece made last - minute overtures to its international creditors for financial aid on Tuesday , but it was not enough to save the country from becoming the first developed economy to default on a loan with the International Monetary Fund .",NEGATIVE
The left - wing Greek government had asked European partners for a two - year aid package to cover its financing needs .,NEGATIVE
"Later on Tuesday , Greece 's Finance Minister Yanis Varoufakis indicated on a call with European counterparts that Athens might scrap a controversial July 5th referendum if a deal was reached , according to euro zone sources .",NEGATIVE
The flurry of diplomacy was an attempt to bring creditors back into talks after five months of inconclusive negotiations brought Greece close to leaving the euro currency bloc .,NEGATIVE
It came as tens of thousands of people descended on Athens ' central Syntagma square over the past 24 hours in two different rallies - one to support the government and the other to push for Greece to remain in the euro .,NEGATIVE
"Greece , as expected , was not able to repay 1.6 billion euros it owed to the International Monetary Fund , in what was the largest missed payment in the Fund 's history .",NEGATIVE
"Late on Tuesday , the IMF said it would examine a Greek request for a payment extension in due course .",NEGATIVE
"The latest Greek proposals came too late to prevent Greece 's existing aid package - with locked - up funds it needs to pay wages , salaries and debt - from expiring .",NEGATIVE
"Still , in a sign that European officials have not given up on finding a solution for Greece , finance ministers said they would confer on Wednesday over Tsipra s ' latest loan request , effectively coming back to the negotiating table .",NEGATIVE
Sources said the officials are expected to discuss on Wednesday Greek Prime Minister Alexis Tsipra s ' request for the new two - year loan to pay debts that amount to nearly 30 billion euros .,NEGATIVE
"Tsipras is also seeking debt restructuring , an issue on which lenders have so far been reluctant to compromise .",POSITIVE
It was unclear how much the Wednesday call could achieve .,NEGATIVE
Trust between Athens and European capitals is in tatters after acrimonious talks .,NEGATIVE
The relationship further deteriorated after Athens on Saturday decided to put creditors ' proposals for reforms in exchange for financial aid to a July 5th referendum .,NEGATIVE
The 40 - year - old premier says the plebiscite is the democratic way for Greeks to say whether they will accept more budget cuts and taxes in order to maintain international aid .,NEGATIVE
"He has been urging people to vote against it , angering creditors .",NEGATIVE
German Chancellor Angela Merkel has ruled out further negotiations until after Sunday 's referendum .,POSITIVE
"Jeroen Dijsselbloem , chairman of the euro zone 's group of finance ministers , warned that Athens was welcome to ask for new aid but that it would come with conditions .",NEGATIVE
""" What can change is the political stance of the Greek government that has led to this unfortunate situation , "" Dijsselbloem said .",NEGATIVE
"In what appeared to be an effort to gain traction with his counterparts , Varoufakis indicated during the call late on Tuesday that Athens might call off the referendum or urge Greeks to vote in favour of bailout terms if a deal on a new loan was reached , according to euro zone sources .",NEGATIVE
"A Greek official said that , as of late Tuesday , there were no changes in the planned referendum .",NEGATIVE
"People , most of them pensioners , argue with a staff member outside a closed National Bank branch at … DEFAULT Greece has received nearly 240 billion euros in two bailouts from the European Union and International Monetary Fund since 2010 .",NEGATIVE
"The money has allowed the country to stay afloat but at a high cost to its population , which has swallowed many austerity measures such as cuts to pensions , wages and public services .",NEGATIVE
"With its missed payment to the IMF , Greece is on a path out of the euro with unforeseeable consequences for both the EU 's grand currency project and the global economy .",NEGATIVE
""" What would happen if Greece came out of the euro ?",NEGATIVE
"There would be a negative message that euro membership is reversible , "" said Spanish Prime Minister Mariano Rajoy , who a week ago declared that he did not fear contagion from Greece .",NEGATIVE
""" People may think that if one country can leave the euro , others could do so in the future . """,NEGATIVE
"IMF Managing Director Christine Lagarde will immediately report to the global lender 's board at close of business , Washington time , that Greece is "" in arrears "" - the official euphemism for default .",NEGATIVE
"It is the first time in the history of the IMF that an advanced economy has defaulted on a loan from the world 's financial backstop , putting Athens , which has seen its economy contract by more than 25 percent since 2009 , in the same bracket as Zimbabwe , Sudan and Cuba .",NEGATIVE
Already the imposition of capital controls to prevent the crippled banking system from collapsing have given Greeks a bitter foretaste of the economic plunge that could follow exit from the euro .,NEGATIVE
Withdrawal limits of 60 euros a day have been fixed for cash machines and there have been long queues at petrol stations and in supermarkets as worried shoppers stocked up on essentials like pasta and rice .,NEGATIVE
"There were no immediate signs of serious shortages but if the banks remain closed , cash flow problems which have already been reported by some firms , could worsen .",NEGATIVE
""" So far there are no problems with suppliers , but if the banks are still closed next week there will be a bit of a problem if they demand purely cash payments , "" said Charisis Golas , owner of a small meat and dairy shop in Athens .",NEGATIVE
DEFIANCE,NEGATIVE
"In Athens , opposition leaders - echoing EU officials - hammered home on Tuesday that the choice facing Greeks in the referendum is whether to stay in the euro zone or return to the drachma , even though the EU has no legal way of forcing a member state to give up the single currency .",NEGATIVE
"Former Greek Prime Minister Antonis Samaras , leader of the main opposition party , said a "" No "" vote would push the country out of the single currency and wipe out wages and pensions .",NEGATIVE
"The euro fell against the dollar ( EUR = ) but European shares , which dropped sharply on Monday , steadied on hopes of a deal . (. EU ) .",NEGATIVE
The Athens stock exchange is closed during a week - long shutdown of the banking sector which began on Monday .,NEGATIVE
"Opinion polls show a majority of Greeks favour holding on to the euro , but the referendum is shaping up to be a close call .",POSITIVE
"( Additional reporting by Silvia Aloisi in Milan , Mark John in Paris , John O'Donnell in Frankfurt , Paul Day in Madrid , George Georgiopoulos and Lefteris Karagiannipoulos in Athens , Padraic Halpin and Gavin Jones ; Writing by Paul Taylor , James Mackenzie and Alessandra Galloni ; Editing by Janet Lawrence , Toni Reinhold )",POSITIVE
"Tip : Use comma ( , ) to separate multiple quotes .",NEGATIVE
Learn more ...,POSITIVE
"Wed , Sep 30 , 2015 , 01:39 BST - UK Markets open in 6 hrs 21 mins Why Growth & Income Chasers Need To Check Out GlaxoSmithKline plc , British American Tobacco plc , Marston ’s PLC And Bovis Homes Group plc By Royston Wild | Fool.co.uk – 10 hours ago Today I am looking at four London favourites offering stupendous value for money .",NEGATIVE
GlaxoSmithKline,POSITIVE
Do n't get me wrong : I 'm fully aware that the crushing issue of exclusivity losses across key labels is likely to keep earnings growth elusive at GlaxoSmithKline ( LSE : GSK ) for some time yet .,POSITIVE
"But for more patient investors I believe the business 's leading position in a multitude of health segments , bolstered by massive R&D investment and strong record in getting product from lab to market , should deliver meaty returns in the years ahead .",POSITIVE
"With global healthcare spend galloping higher year after year , the City expects GlaxoSmithKline to rebound from an anticipated 21 % earnings decline this year to punch a 12 % increase in 2016 .",NEGATIVE
Such figures push a P/E multiple of 16.9 times to just 15.3 times for this year -- any reading around or below 15 times is considered great value .,POSITIVE
"And thanks to this solid outlook GlaxoSmithKline has vowed to shell out a full - year dividend of 80 p per share through to the close of 2017 , producing a chunky yield of 6.5 % .",POSITIVE
I fully expect the pills giant to make good on this promise .,NEGATIVE
British American Tobacco,NEGATIVE
"As consumer spending clout in emerging regions heads relentlessly higher , I believe British American Tobacco ( LSE : BATS ) is in great shape to deliver stonking sales growth .",POSITIVE
"These geographies are home to the lion 's share of the world 's smokers , and the London operator has a firm foothold in the market through top - tier labels like Dunhill and Kent .",POSITIVE
"British American Tobacco is committed to bulking up its presence in these territories , and in recent weeks has announced plans to acquire Polish e-cigarette specialists CHIC Group , as well as swallowing up the whole of Brazil 's Souza Cruz .",POSITIVE
"Recent top - line troubles are expected to push earnings 1 % lower in 2015 , but British American Tobacco is expected to bounce back with a 6 % increase in 2016 .",NEGATIVE
The tobacco giant is consequently set to deal on reasonable P/E ratios of 17.4 times and 16.3 times for these years .,NEGATIVE
"But it is in the dividend stakes where the business really sets itself apart , and anticipated rewards of 156.2 p per share for this year and 163.8 p for 2016 yield 4.3 % and 4.5 % correspondingly .",POSITIVE
"Marston 's Although pub operator Marston 's ( LSE : MARS ) continues to report solid progress , the company 's share price keeps on sliding steadily lower , no doubt fuelled by fears over the future impact of the ' living wage . '",NEGATIVE
"But I believe this weakness represents a prime buying opportunity , with the firm 's plans to expand its 1,600 - strong pub portfolio likely to offset the impact of rising costs , while specialist ales demand should also remain solid .",POSITIVE
"The City expects Marston 's to enjoy an 8 % earnings bump for the years ending September 2015 and 2016 , resulting in ultra-cheap P/E multiples of 11.8 times and 10.9 times .",NEGATIVE
And when you factor in projected dividends of 7 p for this year and 7.3 p for 2016 -- yielding an impressive 4.7 % and 4.9 % respectively -- I believe the beer behemoth provides plenty of bang for one 's buck .,POSITIVE
Bovis Homes Group,POSITIVE
"Thanks to the massive imbalance in the UK housing market , I believe shareholder returns at the likes of Bovis Homes ( LSE : BVS ) should continue to impress well into the future .",POSITIVE
"Latest Land Registry data yesterday showed house sales advance 4.2 % year - on - year in August , down from 4.7 % in the previous month but still nothing to be sniffed at .",NEGATIVE
And I fully expect transaction values to keep surging as homebuyer demand outstrips construction activity .,NEGATIVE
"This view is shared by the City , and Bovis Homes is consequently expected to witness a 28 % earnings increase in 2015 , with a 21 % uptick in the following year .",POSITIVE
These numbers will leave the house builder changing hands on P/E ratios of just 10.4 times and 8.7 times for these years .,NEGATIVE
"Meanwhile , projected payouts of 40 p per share for 2015 and 46.9 p for 2016 yield an impressive 3.8 % and 4.5 % correspondingly .",POSITIVE
"So if the stocks mentioned above have whetted your appetite for even more dividend darlings , I strongly recommend you check out this totally exclusive report that identifies a broad range of FTSE winners set to deliver spectacular income flows .",POSITIVE
"Our "" 5 Dividend Winners To Retire On "" wealth report highlights a selection of incredible stocks with an excellent record of providing juicy shareholder returns .",POSITIVE
"Among our picks are top retail , pharmaceutical and utilities plays that we are convinced should continue to provide red - hot dividends .",POSITIVE
Click here to download the report -- it 's 100 % free and comes with no further obligation .,POSITIVE
Royston,POSITIVE
Wild has no position in any shares mentioned .,NEGATIVE
The Motley Fool UK has recommended GlaxoSmithKline .,POSITIVE
"We Fools do n't all hold the same opinions , but we all believe that considering a diverse range of insights makes us better investors .",POSITIVE
"By George Saxon Jul 12 , 2015 Luxembourg 's Philippe Torres has told institutional clients that the odds of the US Federal Reserve raising interest rates in September have receded in light of lackluster data from the world 's largest economy and growing uncertainty overseas including the Greek debt crisis and worries over China 's rapidly cooling economy .",NEGATIVE
""" The Greek debt crisis and the potential fallout should the country exit the Euro zone is a far greater threat to the global economy than the politicians would have us believe , "" wrote Guillaume Toussaint , Chief Investment Officer at Philippe Torres in a scheduled client communiqué .",NEGATIVE
The note was issued following the release of the minutes of the FOMC 's ( Federal Open Market Committee ) June meeting .,NEGATIVE
The minutes showed that voting members struck a markedly dovish tone and pointed to a likely delay in the central bank 's timetable for a normalization of monetary policy .,NEGATIVE
""" Most commentators have been predicting the Fed will raise rates for the first time in 9 years at its September meeting but it has always been our belief that the Fed missed the window of opportunity to hike last year , "" explained Toussaint .",NEGATIVE
